,scennumb,nsites_train,intra,select,regression,idtrain,idtest,hm,y_ref,y_pred,TP,TN,weights
124,1,1,1,0,0,1,1,1,1,1,1,0,0.703488372093
125,1,1,1,0,0,1,1,1,0,0,0,1,0.703488372093
126,1,1,1,0,0,1,1,1,1,1,1,0,0.703488372093
127,1,1,1,0,0,1,1,1,1,1,1,0,0.703488372093
128,1,1,1,0,0,1,1,1,1,1,1,0,0.703488372093
129,1,1,1,0,0,1,1,1,0,0,0,1,0.703488372093
130,1,1,1,0,0,1,1,1,1,1,1,0,0.703488372093
131,1,1,1,0,0,1,1,0,1,0,0,0,0.703488372093
132,1,1,1,0,0,1,1,0,0,1,0,0,0.703488372093
133,1,1,1,0,0,1,1,1,0,0,0,1,0.703488372093
134,1,1,1,0,0,1,1,0,1,0,0,0,0.703488372093
135,1,1,1,0,0,1,1,1,0,0,0,1,0.703488372093
136,1,1,1,0,0,1,1,1,1,1,1,0,0.703488372093
137,1,1,1,0,0,1,1,1,1,1,1,0,0.703488372093
138,1,1,1,0,0,1,1,1,0,0,0,1,0.703488372093
139,1,1,1,0,0,1,1,1,0,0,0,1,0.703488372093
140,1,1,1,0,0,1,1,0,1,0,0,0,0.703488372093
141,1,1,1,0,0,1,1,1,1,1,1,0,0.703488372093
142,1,1,1,0,0,1,1,0,0,1,0,0,0.703488372093
143,1,1,1,0,0,1,1,1,1,1,1,0,0.703488372093
144,1,1,1,0,0,1,1,1,1,1,1,0,0.703488372093
145,1,1,1,0,0,1,1,0,1,0,0,0,0.703488372093
146,1,1,1,0,0,1,1,1,0,0,0,1,0.703488372093
147,1,1,1,0,0,1,1,0,1,0,0,0,0.703488372093
148,1,1,1,0,0,1,1,1,0,0,0,1,0.703488372093
149,1,1,1,0,0,1,1,1,0,0,0,1,0.703488372093
150,1,1,1,0,0,1,1,1,1,1,1,0,0.703488372093
151,1,1,1,0,0,1,1,1,1,1,1,0,0.703488372093
152,1,1,1,0,0,1,1,1,0,0,0,1,0.703488372093
153,1,1,1,0,0,1,1,1,1,1,1,0,0.703488372093
154,1,1,1,0,0,1,1,1,1,1,1,0,0.703488372093
155,1,1,1,0,0,1,1,1,0,0,0,1,0.703488372093
156,1,1,1,0,0,1,1,1,1,1,1,0,0.703488372093
157,1,1,1,0,0,1,1,1,1,1,1,0,0.703488372093
158,1,1,1,0,0,1,1,1,1,1,1,0,0.703488372093
159,1,1,1,0,0,1,1,1,0,0,0,1,0.703488372093
160,1,1,1,0,0,1,1,1,0,0,0,1,0.703488372093
161,1,1,1,0,0,1,1,1,0,0,0,1,0.703488372093
162,1,1,1,0,0,1,1,1,0,0,0,1,0.703488372093
163,1,1,1,0,0,1,1,0,1,0,0,0,0.703488372093
164,1,1,1,0,0,1,1,1,0,0,0,1,0.703488372093
165,1,1,1,0,0,1,1,0,0,1,0,0,0.703488372093
166,1,1,1,0,0,1,1,1,0,0,0,1,0.703488372093
167,1,1,1,0,0,1,1,1,0,0,0,1,0.703488372093
168,1,1,1,0,0,1,1,0,1,0,0,0,0.703488372093
169,1,1,1,0,0,1,1,1,1,1,1,0,0.703488372093
170,1,1,1,0,0,1,1,0,1,0,0,0,0.703488372093
171,1,1,1,0,0,1,1,1,1,1,1,0,0.703488372093
172,1,1,1,1,1,1,1,1,0,0,0,1,0.703488372093
173,1,1,1,1,1,1,1,1,0,0,0,1,0.703488372093
174,1,1,1,1,1,1,1,1,1,1,1,0,0.703488372093
175,1,1,1,1,1,1,1,0,1,0,0,0,0.703488372093
176,1,1,1,1,1,1,1,1,0,0,0,1,0.703488372093
177,1,1,1,1,1,1,1,1,1,1,1,0,0.703488372093
178,1,1,1,1,1,1,1,1,1,1,1,0,0.703488372093
179,1,1,1,1,1,1,1,1,1,1,1,0,0.703488372093
180,1,1,1,1,1,1,1,0,1,0,0,0,0.703488372093
181,1,1,1,1,1,1,1,0,1,0,0,0,0.703488372093
182,1,1,1,1,1,1,1,1,0,0,0,1,0.703488372093
183,1,1,1,1,1,1,1,1,0,0,0,1,0.703488372093
184,1,1,1,1,1,1,1,1,1,1,1,0,0.703488372093
185,1,1,1,1,1,1,1,1,0,0,0,1,0.703488372093
186,1,1,1,1,1,1,1,0,1,0,0,0,0.703488372093
187,1,1,1,1,1,1,1,1,1,1,1,0,0.703488372093
188,1,1,1,1,1,1,1,1,1,1,1,0,0.703488372093
189,1,1,1,1,1,1,1,1,0,0,0,1,0.703488372093
190,1,1,1,1,1,1,1,0,0,1,0,0,0.703488372093
191,1,1,1,1,1,1,1,0,0,1,0,0,0.703488372093
192,1,1,1,1,1,1,1,1,1,1,1,0,0.703488372093
193,1,1,1,1,1,1,1,1,1,1,1,0,0.703488372093
194,1,1,1,1,1,1,1,1,0,0,0,1,0.703488372093
195,1,1,1,1,1,1,1,1,0,0,0,1,0.703488372093
196,1,1,1,1,1,1,1,1,1,1,1,0,0.703488372093
197,1,1,1,1,1,1,1,1,1,1,1,0,0.703488372093
198,1,1,1,1,1,1,1,1,1,1,1,0,0.703488372093
199,1,1,1,1,1,1,1,0,1,0,0,0,0.703488372093
200,1,1,1,1,1,1,1,0,1,0,0,0,0.703488372093
201,1,1,1,1,1,1,1,1,0,0,0,1,0.703488372093
